tu_id	speaker	start	end	duration	text
0	BO026	12.590	13.218	0.628	 ditemi.
1	BO040	13.315	23.365	10.050	 sì eh <no::i abbiamo il programma dell' anno scorso però abbiamo visto:: che lei fa uno scritto come funziona per noi inve[ce>],
2	BO026	23.080	25.893	2.813	 [no v]oi portate quello portate quello dell' anno s[cors]o.
3	BO040	25.225	25.790	0.565	 [s:ì].
4	BO040	26.248	26.650	0.402	 s:ì.
5	BO026	27.048	28.813	1.765	 regolare quello dell' anno scors[o].
6	BO040	28.680	30.385	1.705	 [e] quindi l' or[ale::]
7	BO026	29.711	30.380	0.669	 [l' orale],
8	BO026	30.531	34.330	3.799	 la prima parte l' orale sarà un colloquio voi vi iscrivete,
9	BO026	34.760	38.570	3.810	 alla data: dell' app[ello ch]e corrisponde a quella dello scr[itto],
10	BO040	36.340	36.911	0.571	 [mh=mh].
11	BO040	38.115	38.653	0.538	 [mh=mh].
12	BO026	39.243	41.940	2.697	 e::: però tutto il programma dell' anno scorso.
13	BO026	41.978	45.590	3.612	 la seconda parte de:l del co~ del programma,
14	BO026	45.833	48.060	2.227	 è identica a quella di quest' anno cioè,
15	BO026	48.196	50.400	2.204	 come i~ la prova consiste,
16	BO041	50.445	51.658	1.213	 quella del dialogo [no],
17	BO026	51.450	51.816	0.366	 [s]ì.
18	BO026	52.221	55.041	2.820	 dell' analisi della sequenza d(i) interazione in clas[se].
19	BO040	54.900	55.363	0.463	 [mh]=mh].
20	BO026	55.990	58.206	2.216	 ma:: voi fate tutto l' esame orale.
21	BO026	58.566	63.163	4.597	 con il programma dell' anno scorso così come era previsto nel dalla::
22	BO026	63.463	65.155	1.692	 verifica::=mh
23	BO026	65.498	66.933	1.435	 dall' esame dell' anno scorso.
24	BO040	67.400	71.670	4.270	 <e ma lo faremo il dodici cioè il giorno de[llo scri:tto>],
25	BO026	70.565	71.780	1.215	 [voi vi iscrivet]e,
26	BO026	72.180	74.620	2.440	 all' appello che è quello della prova scritta,
27	BO026	74.745	77.980	3.235	 e poi io vi inserisco (i~) adesso me~ mi scrivo:
28	BO040	78.111	78.490	0.379	 s:ì.
29	BO026	78.550	79.456	0.906	 i vostri nomi,
30	BO040	79.458	79.940	0.482	 <s[ì>].
31	BO026	79.988	84.710	4.722	 [n]elle liste che preparerò e che metterò nella:: nella pagin[a doc]ente,
32	BO040	83.891	84.301	0.410	 [mh=mh].
33	BO026	85.365	87.090	1.725	 di {P} qualche giorno dopo.
34	BO026	87.586	93.741	6.155	 due {P} massimo tre g[iorni do]po a seconda come ho spiegato a tutti del numero degli scritti da correggere.
35	BO041	89.290	89.810	0.520	 [°okay.°]
36	BO040	93.831	94.805	0.974	 <°d' accordo.°>
37	BO026	94.936	97.748	2.812	 e: mi mi dite, {P} anzi lo scrivo qui.
38	BO040	97.811	98.210	0.399	 <°s~°>
39	BO026	98.210	100.440	2.230	 voi avete il programma e:h=mh
40	BO026	101.715	102.815	1.100	 e::h=mh
41	BO026	103.820	105.610	1.790	 duemilaquindici sedici.
42	BO040	105.610	108.921	3.311	 <°e::h=l' a[nno s]ì duemilaquind[ici sedici.°>]
43	BO041	106.400	106.820	0.420	 [sì].
44	BO026	107.875	113.001	5.126	 [avete già tutti i te]sti una parte::: una parte dei testi è la stessa,
45	BO041	113.366	116.110	2.744	 e::h=s[ì erano tutte le dispense]:
46	BO026	114.100	115.821	1.721	 [per la seconda parte {P} sì].
47	BO040	116.350	116.773	0.423	 <sì>.
48	BO026	116.871	117.390	0.519	 okay.
49	BO026	117.771	118.680	0.909	 e mi dica.
50	BO040	118.730	120.663	1.933	 e:h io sono azzurri,
51	BO040	121.020	121.650	0.630	 maria.
52	BO026	129.761	130.220	0.459	 e lei?
53	BO041	130.500	131.901	1.401	 luciana marroni.
54	BO026	134.870	135.460	0.590	 marroni?
55	BO041	135.633	135.835	0.202	 sì.
56	BO026	135.835	136.126	0.291	 mh,
57	BO026	136.700	139.290	2.590	 quindi il programma è quello della::
58	BO026	144.405	145.865	1.460	 duemilaquindici sedici.
59	BO040	145.930	146.270	0.340	 <°sì.°>
60	BO026	146.581	146.846	0.265	 mh,
61	BO026	147.890	152.900	5.010	 la parte comune è il tipo di prova cioè il colloquio orale del,
62	BO026	153.593	154.840	1.247	 e::h=mh
63	BO026	156.436	159.421	2.985	 centrato sull' analisi della: sequenza trascritta.
64	BO041	159.675	160.363	0.688	 °o[kay.°]
65	BO040	159.946	160.748	0.802	 [<°d' acco]rdo.°>
66	BO026	160.870	164.420	3.550	 e e=e:h anche una parte dei testi per preparare,
67	BO040	165.351	175.970	10.619	 sì [son]o quell[i che sono s]ull[a::]=m:h sul suo sito [ecc]o [di]:: {P} didattica dell' italiano elle due [son]o tutti [que]lli c[he ha elencato].
