tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	TOR005	0.0	1.004	1.004	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 avvi:o	avvi:o	avvio
1	TOR005	1.101	1.807	0.706	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 okay	okay	okay
2	TOR005	1.807	2.924	1.117	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 ehm:	ehm:	ehm
3	TOR005	3.203	4.554	1.351	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 signora margherita erica	signora margherita erica	signora margherita erica
4	TOI024	4.554	6.837	2.283	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	6	 [sì {P}] io:: mi chiamo margherita erica.	[sì {P}] io:: mi chiamo margherita erica.	sì {P} io mi chiamo margherita erica
5	TOR005	4.554	5.229	0.675	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [giusto?]	[giusto?]	giusto
6	TOR005	6.894	8.492	1.598	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	 mi mi ripete [il cognome?]	mi mi ripete [il cognome?]	mi mi ripete il cognome
7	TOI024	7.506	8.75	1.244	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 [dopo all'anagra]fe	[dopo all'anagra]fe	dopo all' anagrafe
8	TOI024	8.75	9.418	0.668	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 bianchi	bianchi	bianchi
9	TOR005	9.42	10.05	0.63	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 bianchi	bianchi	bianchi
10	TOI024	10.05	11.351	1.301	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	0	 {porzione_rimossa_per_motivi_di_privacy}	{porzione_rimossa_per_motivi_di_privacy}	{porzione_rimossa_per_motivi_di_privacy}
11	TOR005	10.965	12.01	1.045	True	0	0	0	0	0	0	0	False	False	False	False	True	_	0	0	0	1	 [o]kay	[o]kay	okay
12	TOI024	12.01	14.522	2.512	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	 e devo proprio firmare così perché::	e devo proprio firmare così perché::	e devo proprio firmare così perché
13	TOI024	15.142	16.929	1.787	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	 all'anagrafe è scritto così	all'anagrafe è scritto così	all' anagrafe è scritto così
14	TOI024	17.176	18.31	1.134	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	 [mi viene da ridere]	[mi viene da ridere]	mi viene da ridere
